date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Coal (Brown) -  MW,Gas (Steam) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-07-16 07:05,0.00,-984.60,0.00,4478.41,0.00,345.60,346.38,15.23,1859.70,0.11,0.00,9.50,61.97,0.00,442.75,0.00,17.56,911.36,132.72
2025-07-16 07:10,-0.40,-1019.17,0.00,4442.47,0.00,375.90,350.38,176.68,1817.21,0.00,0.00,9.50,63.51,0.00,439.19,0.00,19.66,896.34,181.09
2025-07-16 07:15,-0.47,-1040.53,0.00,4435.69,0.00,396.00,291.40,389.73,1770.84,0.00,0.00,9.50,64.35,0.00,438.57,0.00,21.02,883.45,158.00
2025-07-16 07:20,-0.47,-954.09,0.00,4432.13,0.00,402.40,339.08,330.88,1706.39,0.05,0.00,9.50,59.30,0.00,438.22,0.00,21.30,881.37,166.02
2025-07-16 07:25,0.00,-1061.39,0.00,4456.88,0.00,405.10,517.50,432.57,1673.66,0.00,0.00,9.50,64.91,0.00,440.64,0.00,21.46,863.17,219.10
2025-07-16 07:30,-0.43,-1072.37,0.00,4443.06,0.00,402.80,585.48,422.32,1683.40,0.00,0.00,9.50,65.24,0.00,439.27,0.00,21.33,855.03,177.88
2025-07-16 07:35,-0.60,-1037.30,0.00,4468.41,0.00,404.60,619.18,425.39,1619.63,0.04,2.43,9.53,63.29,0.00,441.79,0.00,21.45,854.97,142.84
2025-07-16 07:40,-0.27,-1089.63,0.00,4431.28,0.00,478.66,454.40,408.44,1567.78,1.31,4.86,9.57,67.49,0.00,438.12,0.00,26.49,891.07,132.72
2025-07-16 07:45,-0.03,-1036.80,0.00,4463.41,0.00,560.77,433.27,445.25,1497.40,4.41,7.29,9.60,64.59,0.00,441.28,0.00,32.32,891.49,136.94
2025-07-16 07:50,-0.48,-932.33,0.00,4439.84,0.00,590.20,251.57,450.07,1453.76,9.03,9.73,9.63,58.94,0.00,438.97,0.00,34.62,906.19,139.05
2025-07-16 07:55,-1.38,-893.24,0.00,4432.59,0.00,588.97,264.21,454.20,1419.12,15.96,12.16,9.67,56.50,0.00,438.24,0.00,34.56,901.63,133.70
2025-07-16 08:00,-0.31,-879.67,0.00,4444.03,0.00,591.14,276.01,462.50,1367.67,25.17,14.59,9.70,55.75,0.00,439.37,0.00,34.68,902.79,132.72
2025-07-16 08:05,-0.83,-781.35,0.00,4435.41,0.00,589.35,243.01,407.61,1285.43,36.18,31.61,9.77,50.06,0.00,438.54,0.00,34.56,908.87,132.14
2025-07-16 08:10,-0.93,-830.53,0.00,4445.03,0.00,565.49,163.83,660.29,1259.85,61.62,48.64,9.83,52.49,0.00,439.42,0.00,32.65,888.84,131.23
2025-07-16 08:15,-0.03,-821.70,0.00,4462.31,0.00,536.90,211.68,751.38,1199.22,65.68,65.67,9.90,51.71,0.00,441.21,0.00,30.33,874.41,134.99
2025-07-16 08:20,-0.11,-803.57,0.00,4448.56,0.00,534.60,214.05,787.40,1152.69,80.38,82.69,9.97,50.51,0.00,439.83,0.00,30.19,868.17,140.55
2025-07-16 08:25,-0.28,-757.71,0.00,4450.44,0.00,506.70,238.12,662.57,1126.71,102.90,99.72,10.03,47.98,0.00,439.98,0.00,28.33,874.11,140.55
2025-07-16 08:30,-0.46,-796.07,0.00,4432.28,0.00,478.90,229.39,827.42,1068.92,122.12,116.74,10.10,49.95,0.00,438.23,0.00,26.48,860.67,137.62
2025-07-16 08:35,0.00,-46.10,307.98,4464.19,0.00,481.90,238.03,831.47,1014.61,153.38,149.00,10.17,3.04,17.49,432.96,0.00,13.33,767.42,166.02
2025-07-16 08:40,-0.30,-68.14,310.32,4444.16,0.00,480.70,313.98,872.18,955.50,164.47,181.26,10.23,4.47,17.57,439.37,0.00,26.58,794.97,144.09
