date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Coal (Brown) -  MW,Gas (Steam) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-07-02 06:40,0.00,-335.32,236.55,4493.75,0.00,273.00,52.98,217.53,1150.58,0.00,0.00,11.63,24.73,12.81,443.87,0.00,12.55,0.00,159.88
2025-07-02 06:45,-0.44,-294.08,250.87,4478.84,0.00,272.00,50.09,216.94,1140.69,0.22,0.00,11.60,21.72,13.55,442.41,0.00,12.51,0.00,160.00
2025-07-02 06:50,-0.37,-291.57,189.49,4473.47,0.00,272.00,181.12,276.13,1155.90,0.00,0.00,11.57,20.84,10.29,441.88,0.00,12.51,0.00,200.02
2025-07-02 06:55,-0.33,-314.13,127.49,4485.94,0.00,314.10,326.33,349.83,1166.06,0.00,0.00,11.53,21.68,6.93,443.12,0.00,15.35,0.00,200.02
2025-07-02 07:00,-0.20,-316.27,75.83,4487.28,0.00,367.80,370.52,391.24,1193.03,0.00,0.00,11.50,21.46,4.08,443.21,0.00,18.97,0.00,200.02
2025-07-02 07:05,-0.21,-329.89,56.03,4468.53,0.00,411.90,436.26,420.94,1210.82,0.00,0.00,11.28,22.00,3.02,441.41,0.00,21.92,0.00,200.02
2025-07-02 07:10,-0.50,-331.56,0.00,4465.84,0.00,417.10,432.52,536.84,1235.65,0.00,0.00,11.07,21.68,0.00,441.13,0.00,22.25,0.00,200.02
2025-07-02 07:15,0.00,-293.98,3.44,4505.03,0.00,419.60,354.66,612.13,1254.18,0.00,0.00,10.85,19.23,0.19,444.97,0.00,22.40,0.00,200.02
2025-07-02 07:20,-0.28,-257.31,31.32,4477.84,0.00,419.00,389.53,556.63,1292.39,0.00,0.00,10.63,16.76,1.70,442.31,0.00,22.33,0.00,200.02
2025-07-02 07:25,-0.30,-341.68,91.10,4494.06,0.00,416.80,468.89,551.03,1355.45,0.00,0.00,10.42,21.86,4.96,443.91,0.00,22.16,0.00,200.02
2025-07-02 07:30,-0.30,-340.10,107.37,4473.72,0.00,419.80,457.75,589.24,1402.14,0.01,0.00,10.20,21.51,5.84,441.93,0.00,22.37,0.00,167.97
2025-07-02 07:35,-3.70,-318.92,137.06,4460.78,0.00,419.60,486.43,453.13,1420.04,0.40,1.13,10.15,20.39,7.47,440.63,0.00,22.35,0.00,200.02
2025-07-02 07:40,0.00,-431.33,62.35,4491.59,0.00,403.20,494.27,686.13,1430.58,3.01,2.26,10.10,26.71,3.44,443.70,0.00,21.25,0.00,185.72
2025-07-02 07:45,-1.10,-381.76,123.30,4462.16,0.00,383.90,421.73,624.03,1438.97,5.96,3.38,10.05,23.97,6.73,440.79,0.00,19.95,0.00,160.10
2025-07-02 07:50,-0.20,-430.18,192.06,4454.06,0.00,383.20,431.89,621.84,1436.31,11.08,4.51,10.00,26.96,10.48,439.98,0.00,19.92,0.00,167.40
2025-07-02 07:55,-0.11,-428.04,216.63,4487.13,0.00,385.40,343.46,639.63,1462.79,19.07,5.64,9.95,27.03,11.96,443.24,0.00,20.05,0.00,160.00
2025-07-02 08:00,-0.57,-414.62,280.99,4461.19,0.00,384.60,339.58,535.74,1495.25,29.75,6.77,9.90,26.36,15.39,440.68,0.00,19.97,0.00,176.13
2025-07-02 08:05,-0.12,-423.32,270.92,4475.88,0.00,384.60,344.91,552.93,1496.16,51.95,16.57,9.88,26.77,14.90,442.14,0.00,19.97,0.00,185.04
2025-07-02 08:10,-0.20,-428.42,258.07,4497.16,0.00,387.60,327.53,623.24,1474.01,80.97,26.38,9.87,26.92,14.01,444.22,0.00,20.15,0.00,188.02
2025-07-02 08:15,-0.47,-408.94,240.30,4464.13,0.00,384.50,349.02,610.74,1494.02,110.15,36.19,9.85,25.43,12.96,440.98,0.00,19.99,0.00,178.62
2025-07-02 08:20,-0.60,-491.70,307.51,4463.78,0.00,384.40,407.49,586.63,1501.88,119.44,46.00,9.83,30.37,16.41,440.97,0.00,19.98,0.00,182.57
2025-07-02 08:25,-0.10,-470.03,291.45,4469.91,0.00,386.00,393.12,503.44,1508.05,179.93,55.81,9.82,29.16,15.30,441.56,0.00,20.04,0.00,181.63
2025-07-02 08:30,-0.03,-477.71,295.72,4470.59,0.00,386.80,363.66,508.24,1528.28,198.80,65.62,9.80,29.58,15.48,441.63,0.00,20.10,0.00,180.71
2025-07-02 08:35,0.00,-483.09,336.78,4501.69,0.00,389.60,379.76,524.93,1527.56,219.10,83.96,9.83,29.78,17.42,444.65,0.00,20.27,0.00,185.56
2025-07-02 08:40,0.00,-475.88,491.30,4470.06,0.00,329.60,505.41,476.83,1548.69,247.81,102.30,9.87,28.82,25.29,441.53,0.00,17.44,0.00,189.95
2025-07-02 08:45,0.00,-421.79,426.72,4497.78,0.00,268.00,496.90,486.63,1560.90,281.01,120.65,9.90,25.50,21.75,444.24,0.00,14.64,0.00,218.33
2025-07-02 08:50,-0.40,-383.79,419.63,4499.06,0.00,234.20,440.51,472.33,1552.51,310.07,138.99,9.93,23.38,21.54,444.37,0.00,13.11,0.00,226.60
2025-07-02 08:55,-0.10,-340.44,452.96,4491.44,0.00,288.70,249.67,441.13,1529.08,335.79,157.33,9.97,21.31,23.08,443.67,0.00,15.58,0.00,268.69
2025-07-02 09:00,-0.10,-285.99,392.79,4494.00,0.00,354.20,140.47,418.52,1495.26,372.59,175.67,10.00,18.18,19.68,443.86,0.00,18.63,0.00,212.83
2025-07-02 09:05,-1.13,-324.22,448.43,4505.09,0.00,300.10,233.67,414.02,1450.11,404.62,205.44,9.98,20.46,22.03,444.97,0.00,16.14,0.00,242.35
2025-07-02 09:10,-1.15,-245.24,391.71,4507.84,0.00,295.30,341.71,260.73,1407.73,422.19,235.20,9.97,15.59,18.99,445.30,0.00,14.76,0.00,270.82
2025-07-02 09:15,-3.03,-242.26,452.68,4472.22,0.00,330.40,207.86,331.52,1375.97,435.96,264.96,9.95,15.51,21.74,441.72,0.00,16.36,0.00,218.84
2025-07-02 09:20,-5.79,-242.33,452.03,4478.22,0.00,306.50,287.77,233.03,1387.42,439.59,294.73,9.93,15.53,21.35,442.32,0.00,14.73,0.00,209.50
2025-07-02 09:25,-3.69,-296.57,421.51,4503.75,0.00,306.20,214.52,433.02,1370.58,443.36,324.49,9.92,18.74,19.84,444.83,0.00,14.73,0.00,203.42
2025-07-02 09:30,-1.48,-324.35,439.54,4477.00,0.00,305.80,249.25,418.13,1358.06,467.89,354.25,9.90,20.37,20.61,442.20,0.00,14.70,0.00,196.20
2025-07-02 09:35,-0.83,-330.22,413.03,4487.38,0.00,306.80,197.96,376.83,1395.27,523.50,380.50,9.92,20.75,19.21,443.29,0.00,14.75,0.00,195.52
2025-07-02 09:40,-1.06,-346.91,449.54,4482.78,0.00,275.00,217.29,250.74,1412.59,559.82,406.75,9.93,21.95,20.72,442.77,0.00,12.65,0.00,190.43
2025-07-02 09:45,-0.84,-338.15,446.99,4499.31,0.00,276.00,203.29,210.63,1394.36,573.58,433.00,9.95,21.60,20.55,444.42,0.00,12.69,0.00,190.95
2025-07-02 09:50,-7.15,-382.51,460.46,4489.28,0.00,276.00,189.57,294.13,1345.77,587.39,459.25,9.97,24.29,21.03,443.41,0.00,12.69,0.00,212.20
2025-07-02 09:55,-0.80,-367.95,430.64,4499.56,0.00,276.00,152.91,250.94,1330.72,661.26,485.50,9.98,23.45,19.69,444.41,0.00,12.69,0.00,185.92
2025-07-02 10:00,-3.32,-420.42,428.48,4471.00,0.00,275.00,5.00,418.93,1343.47,760.11,511.75,10.00,26.26,19.57,441.66,0.00,12.65,0.00,189.35
2025-07-02 10:05,-16.53,-428.20,408.53,4490.78,0.00,276.00,5.00,429.93,1319.01,817.39,528.47,10.12,26.62,18.49,443.57,0.00,12.69,0.00,188.96
2025-07-02 10:10,-2.39,-425.65,387.41,4486.34,0.00,275.00,5.14,398.02,1316.01,825.87,545.18,10.23,26.55,17.52,443.13,0.00,12.65,0.00,187.45
2025-07-02 10:15,-1.52,-440.67,423.75,4489.63,0.00,276.00,1.93,389.23,1324.32,802.05,561.89,10.35,27.60,19.35,443.44,0.00,12.69,0.00,199.22
2025-07-02 10:20,-6.08,-433.84,408.93,4454.31,0.00,273.00,0.03,382.52,1329.76,805.62,578.61,10.47,27.10,18.69,440.04,0.00,12.55,0.00,184.98
2025-07-02 10:25,-1.34,-482.93,425.35,4486.03,0.00,275.00,1.38,388.13,1331.24,803.37,595.32,10.58,30.21,19.18,443.11,0.00,12.65,0.00,164.10
2025-07-02 10:30,-3.97,-449.66,479.83,4468.13,0.00,273.00,0.28,206.03,1360.77,794.48,612.03,10.70,28.74,21.60,441.39,0.00,12.55,0.00,161.58
2025-07-02 10:35,-2.81,-500.58,530.47,4475.41,0.00,274.00,0.26,205.22,1353.89,794.99,630.54,10.71,32.04,23.88,442.10,0.00,12.60,0.00,210.38
2025-07-02 10:40,-5.33,-452.93,504.94,4454.16,0.00,271.00,0.00,105.63,1368.89,784.35,649.04,10.72,29.34,22.26,440.02,0.00,12.46,0.00,189.87
2025-07-02 10:45,-1.93,-457.53,535.11,4492.19,0.00,275.00,0.11,7.22,1365.83,782.42,667.54,10.73,30.16,23.51,443.71,0.00,12.65,0.00,262.87
2025-07-02 10:50,-0.99,-377.82,426.25,4503.38,0.00,276.00,12.69,0.53,1355.97,783.37,686.04,10.73,24.94,18.99,444.83,0.00,12.69,0.00,189.35
2025-07-02 10:55,-1.70,-444.85,497.77,4474.06,0.00,271.00,0.07,0.53,1391.10,778.20,704.54,10.74,29.23,21.55,441.91,0.00,12.46,0.00,187.84
2025-07-02 11:00,-1.40,-459.41,471.48,4483.75,0.00,272.00,4.61,0.63,1426.04,773.83,723.04,10.75,30.06,20.35,442.89,0.00,12.51,0.00,186.36
2025-07-02 11:05,-1.38,-530.73,418.96,4474.06,0.00,272.00,0.59,204.93,1473.74,771.06,737.46,10.74,33.52,17.81,441.97,0.00,12.51,0.00,155.07
2025-07-02 11:10,-1.17,-557.18,417.08,4494.38,0.00,274.00,8.59,266.73,1499.10,760.93,751.88,10.73,34.83,17.50,443.95,0.00,12.60,0.00,154.45
2025-07-02 11:15,-1.40,-548.09,387.47,4496.91,0.00,274.00,2.82,263.23,1541.29,749.02,766.30,10.73,34.17,16.15,444.17,0.00,12.60,0.00,156.23
2025-07-02 11:20,-1.47,-545.22,437.60,4498.50,0.00,274.00,4.30,268.13,1529.08,736.13,780.72,10.72,34.08,18.30,444.31,0.00,12.60,0.00,148.42
2025-07-02 11:25,-1.70,-587.28,423.05,4493.81,0.00,273.00,1.04,265.32,1545.03,745.97,795.14,10.71,36.60,17.72,443.88,0.00,12.55,0.00,131.83
2025-07-02 11:30,-1.63,-623.86,489.05,4473.38,0.00,272.00,0.00,219.13,1541.79,739.81,809.57,10.70,39.12,20.48,441.87,0.00,12.51,0.00,157.40
2025-07-02 11:35,-197.99,-519.71,435.95,4500.28,0.00,275.00,4.16,265.63,1538.00,736.25,816.08,10.65,32.46,18.54,444.51,0.00,12.65,0.00,177.37
2025-07-02 11:40,-97.78,-585.29,392.07,4477.50,0.00,273.00,0.02,355.32,1604.58,721.98,822.60,10.60,35.82,16.99,442.28,0.00,12.55,0.00,159.22
2025-07-02 11:45,-150.19,-680.18,355.21,4457.56,0.00,214.00,0.00,314.82,1654.09,708.02,829.12,10.55,41.67,15.42,440.34,0.00,9.84,0.00,159.88
2025-07-02 11:50,-100.34,-661.44,338.82,4463.72,0.00,150.00,1.23,314.93,1642.60,713.12,835.64,10.50,40.66,14.68,440.95,0.00,6.90,0.00,160.00
