date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-07-02 06:35,-1.35,0.00,0.00,6.50,5471.50,61.30,28.86,208.90,40.47,34.13,251.69,152.08,969.50,0.16,0.00,10.78,0.00,0.35,410.80,0.13,2.52,7.57,1.96,1.73,0.00,148.73
2025-07-02 06:40,-1.35,0.00,0.00,20.95,5438.32,60.80,29.33,209.96,90.51,33.29,79.97,312.57,1007.76,0.16,0.00,10.77,0.00,1.13,408.44,0.13,2.57,7.61,4.38,1.68,0.00,162.73
2025-07-02 06:45,-1.35,0.00,-19.50,0.00,5424.38,61.10,29.33,208.62,139.42,31.84,201.73,318.06,1022.91,0.36,0.00,10.75,1.12,0.00,407.44,0.13,2.57,7.56,6.75,1.61,0.00,164.72
2025-07-02 06:50,-1.35,0.00,-51.50,0.00,5470.43,62.40,29.33,209.21,171.90,33.98,200.16,316.98,1025.57,1.40,0.00,10.73,2.95,0.00,410.71,0.13,2.57,7.58,8.32,1.72,0.00,215.10
2025-07-02 06:55,-1.35,0.00,0.00,3.70,5480.40,61.30,29.33,210.22,171.66,32.63,144.26,317.15,1023.67,6.35,0.00,10.72,0.00,0.20,411.41,0.13,2.57,7.62,8.31,1.65,0.00,217.33
2025-07-02 07:00,-1.35,0.00,0.00,55.10,5483.20,64.00,74.35,210.56,172.53,34.10,50.77,318.48,1017.62,13.93,29.68,10.70,0.00,2.96,411.63,0.14,6.50,7.63,8.35,1.73,0.00,222.18
2025-07-02 07:05,-1.55,0.00,0.00,29.00,5478.10,65.90,122.81,208.34,171.52,33.85,51.43,317.20,1024.40,26.95,72.67,10.77,0.00,1.56,411.24,0.14,10.74,7.55,8.30,1.71,0.00,223.73
2025-07-02 07:10,-2.26,0.00,0.00,45.90,5451.58,65.90,135.99,209.21,171.59,32.60,75.30,315.60,1020.27,71.06,115.67,10.83,0.00,2.50,409.34,0.14,11.90,7.58,8.30,1.65,0.00,222.25
2025-07-02 07:15,-0.44,0.00,0.00,2.75,5482.43,66.80,137.09,209.32,171.59,33.71,58.61,319.33,1025.82,130.76,158.67,10.90,0.00,0.15,411.61,0.14,11.99,7.59,8.30,1.70,0.00,215.11
2025-07-02 07:20,-0.44,0.00,-22.35,0.00,5459.90,66.40,137.40,208.37,171.59,32.80,65.85,317.71,1024.76,259.89,201.67,10.97,1.27,0.00,409.97,0.14,12.02,7.55,8.30,1.66,0.00,213.39
2025-07-02 07:25,-0.44,0.00,-105.25,0.00,5466.53,66.70,137.71,208.62,171.14,33.38,77.23,316.82,1018.83,380.71,244.66,11.03,5.88,0.00,410.45,0.14,12.05,7.56,8.28,1.69,0.00,205.83
2025-07-02 07:30,-0.80,0.00,-171.70,0.00,5457.53,65.40,136.62,209.34,171.20,33.88,27.87,316.60,1014.32,511.88,287.66,11.10,9.50,0.00,409.75,0.14,11.95,7.59,8.28,1.71,0.00,162.95
2025-07-02 07:35,-14.56,0.00,-240.15,0.00,5429.79,65.30,137.87,208.24,171.20,32.97,29.88,311.20,1009.25,644.15,369.35,11.17,13.06,0.00,407.76,0.14,12.06,7.55,8.28,1.67,0.00,202.79
2025-07-02 07:40,-0.45,0.00,-241.80,0.00,5460.68,66.40,92.38,208.92,170.17,18.20,11.99,151.89,1008.29,816.58,451.05,11.23,13.14,0.00,410.04,0.14,8.08,7.57,8.23,0.97,0.00,176.76
2025-07-02 07:45,-2.64,0.00,-299.35,0.00,5433.08,68.40,43.92,208.56,171.16,32.53,11.62,151.88,1001.70,955.77,532.74,11.30,15.91,0.00,408.01,0.14,3.84,7.56,8.28,1.64,0.00,148.79
2025-07-02 07:50,-2.52,0.00,-399.95,0.00,5385.62,67.80,0.00,208.04,171.17,32.26,9.13,151.69,1006.15,1142.23,614.44,11.37,20.65,0.00,404.56,0.14,0.00,7.54,8.28,1.63,0.00,145.28
2025-07-02 07:55,-0.88,0.00,-475.90,0.00,5405.17,65.70,0.00,210.10,170.21,32.12,2.00,152.10,996.63,1296.24,696.13,11.43,24.20,0.00,406.08,0.14,0.00,7.61,8.24,1.62,0.00,117.74
2025-07-02 08:00,-2.21,0.00,-552.25,0.00,5322.88,59.00,0.00,202.46,170.27,32.15,3.67,152.10,993.73,1454.65,777.82,11.50,27.47,0.00,400.12,0.13,0.00,7.34,8.24,1.62,0.00,78.73
2025-07-02 08:05,-2.03,0.00,-562.65,0.00,5205.35,55.80,0.00,196.82,125.47,32.95,34.74,136.65,983.43,1603.99,877.95,11.60,27.28,0.00,391.13,0.12,0.00,7.13,6.07,1.67,0.00,77.53
2025-07-02 08:10,-0.35,0.00,-566.25,0.00,5127.40,52.70,0.00,193.45,80.36,33.32,15.11,120.33,989.49,1740.91,978.08,11.70,26.96,0.00,385.11,0.11,0.00,7.01,3.89,1.69,0.00,87.67
