date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-25 07:10,-9.43,0.00,-1.05,821.16,6351.48,-2.01,0.00,0.00,41.34,34.88,648.50,2252.83,7.70,0.00,13.13,0.05,47.93,479.19,0.05,0.00,0.00,2.07,0.00,120.00
2025-06-25 07:15,-3.94,0.00,0.00,801.60,6418.79,-1.76,0.00,0.00,41.19,39.64,734.43,2257.48,19.37,0.00,13.10,0.00,46.53,484.56,0.05,0.00,0.00,2.07,0.00,120.00
2025-06-25 07:20,-6.19,0.00,0.00,821.76,6406.10,0.10,0.00,0.00,40.89,31.31,785.95,2251.62,29.23,0.00,13.07,0.00,46.42,483.63,0.05,0.00,0.00,2.05,0.00,119.99
2025-06-25 07:25,-32.61,0.00,0.00,806.87,6411.59,0.31,0.00,0.00,41.24,179.06,761.88,2255.95,56.85,0.00,13.03,0.00,45.52,484.06,0.05,0.00,0.00,2.07,0.00,120.00
2025-06-25 07:30,-75.79,0.00,0.00,833.51,6408.39,-1.20,0.00,0.00,41.16,162.65,729.29,2265.67,99.36,65.35,13.00,0.00,47.46,483.76,0.05,0.00,0.00,2.07,0.00,108.91
2025-06-25 07:35,-2.70,0.00,0.00,872.22,6373.60,-1.79,0.00,0.00,41.33,129.97,596.78,2269.18,148.94,112.53,13.03,0.00,49.51,480.81,0.05,0.00,0.00,2.07,0.00,104.06
2025-06-25 07:40,-1.21,0.00,0.00,931.79,6307.10,-2.95,0.00,0.00,41.48,160.17,373.19,2330.15,202.34,159.70,13.07,0.00,51.33,475.45,0.05,0.00,0.00,2.08,0.00,108.91
2025-06-25 07:45,-5.87,0.00,0.00,1006.84,6327.29,-2.25,0.00,0.00,41.32,32.53,362.58,2319.85,261.64,206.88,13.10,0.00,54.82,476.99,0.05,0.00,0.00,2.07,0.00,108.91
2025-06-25 07:50,-5.99,0.00,0.00,944.94,6300.45,-5.29,0.00,0.00,41.68,66.93,341.41,2324.99,333.61,254.06,13.13,0.00,51.40,474.94,0.05,0.00,0.00,2.09,0.00,106.03
2025-06-25 07:55,-1.16,0.00,0.00,878.92,6315.69,-5.27,0.00,0.00,41.80,95.75,295.89,2342.05,413.82,301.24,13.17,0.00,47.58,476.08,0.05,0.00,0.00,2.10,0.00,89.70
