date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-04 16:50,-8.99,0.00,0.00,1294.16,6859.77,-26.74,0.00,190.00,532.26,2.32,959.59,536.54,69.63,0.00,11.67,0.00,73.36,516.72,0.00,0.00,5.89,25.85,0.00,299.99
2025-06-04 16:55,-8.16,0.00,0.00,1334.11,6888.67,-26.74,0.00,190.00,532.61,14.22,972.20,551.06,41.73,0.00,11.63,0.00,76.41,518.66,0.00,0.00,5.89,25.87,0.00,299.99
2025-06-04 17:00,-8.45,0.00,0.00,1283.77,6920.17,-26.74,0.00,190.00,497.37,20.44,1157.43,564.22,24.00,46.30,11.60,0.00,73.40,520.77,0.00,0.00,5.89,24.06,0.00,299.99
2025-06-04 17:05,-7.41,0.00,0.00,1255.78,6931.08,-26.74,0.00,190.00,498.22,47.60,1220.41,546.67,8.86,38.59,11.62,0.00,71.55,521.36,0.00,0.00,5.89,24.10,0.00,299.99
2025-06-04 17:10,-12.11,0.00,0.00,1187.94,7008.33,-26.75,0.00,237.00,498.56,20.15,1385.17,545.65,2.10,30.88,11.63,0.00,66.89,527.07,0.00,0.00,7.34,24.12,0.00,299.99
2025-06-04 17:15,-9.93,0.00,0.00,1173.02,7077.93,-26.74,0.00,293.00,556.39,19.84,1354.03,558.53,0.52,23.16,11.65,0.00,66.53,532.15,0.00,0.00,9.08,27.08,0.00,299.99
2025-06-04 17:20,-9.02,0.00,-4.53,1102.45,7070.88,-26.78,0.00,340.00,615.56,9.20,1452.66,565.97,0.03,15.45,11.67,0.26,61.31,531.54,0.00,0.00,10.53,30.12,0.00,299.99
2025-06-04 17:25,-7.87,0.00,-52.84,1102.65,7086.11,-26.48,0.00,397.00,676.65,7.41,1546.73,582.10,0.03,7.74,11.68,2.97,61.80,532.59,0.00,0.00,12.30,33.25,0.00,299.99
2025-06-04 17:30,-5.58,0.00,-21.87,1161.15,7078.13,-26.47,0.00,438.00,674.62,0.02,1507.50,562.15,0.03,0.02,11.70,1.23,64.45,531.87,0.00,0.00,13.57,33.15,0.00,305.16
2025-06-04 17:35,-4.91,0.00,-24.01,1119.10,7067.09,-26.45,0.00,438.00,673.18,13.28,1632.55,577.48,0.03,0.02,11.72,1.33,61.89,531.01,0.00,0.00,13.57,33.07,0.00,301.17
2025-06-04 17:40,-5.03,0.00,-25.51,1072.60,7096.27,-26.46,0.00,441.00,674.66,46.64,1646.37,596.80,0.03,0.02,11.73,1.41,59.55,533.22,0.00,0.00,13.66,33.14,0.00,310.00
