date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Coal (Brown) -  MW,Gas (Steam) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-04 16:50,0.00,-202.91,313.84,4040.13,509.25,492.97,313.76,952.32,512.22,92.26,0.00,12.20,12.97,6.70,394.73,23.04,23.95,0.00,261.54
2025-06-04 16:55,0.00,-247.36,311.83,4036.06,510.75,574.68,428.22,950.72,504.32,66.48,0.00,12.15,15.58,6.95,394.34,23.11,27.88,0.00,265.83
2025-06-04 17:00,0.00,-214.22,293.83,4026.81,510.75,630.41,440.86,944.72,507.58,46.69,55.68,12.10,13.47,6.91,393.45,23.11,30.44,0.00,270.82
2025-06-04 17:05,-0.11,-191.58,337.01,4007.84,508.13,690.66,364.98,945.02,497.25,29.88,46.64,12.02,12.18,8.45,391.60,22.99,33.21,0.00,282.33
2025-06-04 17:10,-0.30,-73.44,365.73,4018.09,509.63,703.98,336.32,726.02,489.00,15.70,37.60,11.93,4.86,9.57,392.57,23.06,33.82,0.00,284.99
2025-06-04 17:15,0.00,-66.27,374.38,4030.94,510.00,706.41,371.92,726.72,472.27,8.55,28.56,11.85,4.38,10.02,393.88,23.08,33.93,0.00,289.91
2025-06-04 17:20,-0.50,0.00,394.63,4020.47,509.63,704.76,265.17,733.72,468.42,3.56,19.52,11.77,0.00,11.02,392.85,23.06,33.86,0.00,295.12
2025-06-04 17:25,-0.04,0.00,414.92,4036.22,510.75,706.49,279.95,741.82,489.13,0.83,10.49,11.68,0.00,12.77,394.36,23.11,33.94,0.00,296.67
2025-06-04 17:30,-0.40,0.00,390.33,4043.63,509.63,733.12,337.98,743.72,498.07,0.39,1.45,11.60,0.00,10.98,395.09,23.06,35.56,0.00,298.22
2025-06-04 17:35,-0.02,0.00,388.38,4033.84,508.13,761.34,358.52,743.22,493.34,0.05,1.21,11.57,0.00,11.22,394.14,22.99,37.33,0.00,295.12
2025-06-04 17:40,0.00,0.00,404.89,4050.44,511.13,791.29,303.97,801.32,515.72,0.06,0.97,11.53,0.00,11.65,395.76,23.13,39.09,0.00,299.29
2025-06-04 17:45,0.00,-14.76,360.41,4025.19,511.50,789.84,379.70,893.64,529.90,0.10,0.72,11.50,0.94,9.86,393.30,23.15,39.02,0.00,281.28
