date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-25 07:10,-0.11,0.00,0.00,1.05,5858.46,42.30,0.00,0.22,0.23,42.92,137.80,92.56,826.62,45.34,0.00,19.07,0.00,0.05,434.49,0.07,0.00,0.01,0.01,2.19,0.00,122.81
2025-06-25 07:15,-0.10,0.00,-4.25,0.00,5901.06,44.00,0.00,0.22,0.23,43.59,135.23,93.17,832.58,84.01,0.00,19.10,0.26,0.00,437.61,0.08,0.00,0.01,0.01,2.22,0.00,123.10
2025-06-25 07:20,-0.10,0.00,-13.55,0.00,5875.34,43.10,0.00,0.22,0.23,43.62,105.38,92.76,827.05,139.44,0.00,19.13,0.83,0.00,435.87,0.07,0.00,0.01,0.01,2.23,0.00,121.61
2025-06-25 07:25,-1.76,0.00,-68.30,0.00,5874.51,43.10,0.00,0.22,0.23,43.94,48.17,92.44,835.11,250.33,0.00,19.17,4.16,0.00,435.85,0.07,0.00,0.01,0.01,2.24,0.00,117.20
2025-06-25 07:30,-2.20,0.00,-152.05,0.00,5878.42,41.70,0.00,0.22,0.23,43.08,74.17,92.34,830.01,370.26,240.74,19.20,9.09,0.00,436.14,0.07,0.00,0.01,0.01,2.20,0.00,103.72
2025-06-25 07:35,-0.10,0.00,-215.35,0.00,5831.73,41.40,0.00,0.22,0.23,42.92,139.85,92.33,812.52,485.77,312.69,19.28,12.57,0.00,432.52,0.07,0.00,0.01,0.01,2.19,0.00,98.45
2025-06-25 07:40,-0.10,0.00,-251.40,0.00,5702.43,36.90,0.00,0.22,0.23,43.30,191.18,92.17,804.21,624.23,384.65,19.37,14.24,0.00,422.28,0.06,0.00,0.01,0.01,2.21,0.00,101.83
2025-06-25 07:45,-0.10,0.00,-331.15,0.00,5594.11,36.90,0.00,0.22,0.23,42.20,228.17,92.67,802.12,750.94,456.60,19.45,18.23,0.00,413.46,0.06,0.00,0.01,0.01,2.15,0.00,98.41
2025-06-25 07:50,-0.10,0.00,-381.50,0.00,5505.88,33.00,0.00,0.22,0.23,41.60,227.48,92.65,794.22,891.65,528.56,19.53,20.56,0.00,406.78,0.06,0.00,0.01,0.01,2.12,0.00,96.83
2025-06-25 07:55,-0.36,0.00,-344.10,0.00,5455.46,34.90,0.00,0.22,0.23,43.30,19.16,92.36,827.80,1026.09,600.51,19.62,18.58,0.00,402.78,0.06,0.00,0.01,0.01,2.21,0.00,80.32
2025-06-25 08:00,-0.10,0.00,-409.15,0.00,5346.05,36.50,0.00,0.22,0.23,43.82,66.32,89.58,840.74,1165.15,672.47,19.70,21.38,0.00,394.46,0.06,0.00,0.01,0.01,2.24,0.00,66.76
2025-06-25 08:05,-0.10,0.00,-426.35,0.00,5233.62,34.90,0.00,0.22,0.23,44.00,51.88,89.87,840.52,1287.44,762.27,19.73,21.83,0.00,386.11,0.06,0.00,0.01,0.01,2.24,0.00,54.76
2025-06-25 08:10,-0.10,0.00,-454.90,0.00,5159.13,26.80,0.00,0.22,0.23,43.30,23.20,72.36,842.16,1434.48,852.07,19.77,22.90,0.00,380.60,0.05,0.00,0.01,0.01,2.21,0.00,50.75
2025-06-25 08:15,-10.51,0.00,-405.00,0.00,4906.65,27.30,0.00,0.22,0.23,43.30,0.03,64.22,847.12,1535.74,941.87,19.80,19.85,0.00,361.70,0.05,0.00,0.01,0.01,2.21,0.00,47.99
2025-06-25 08:20,-5.37,0.00,-423.25,0.00,4691.42,25.10,0.00,0.22,0.23,43.40,0.03,64.02,849.51,1639.51,1031.67,19.83,20.13,0.00,345.74,0.04,0.00,0.01,0.01,2.21,0.00,-13.48
2025-06-25 08:25,-0.10,0.00,-377.05,0.00,4529.54,25.90,0.00,0.22,0.23,43.30,2.32,53.55,848.89,1687.93,1121.47,19.87,17.62,0.00,333.92,0.05,0.00,0.01,0.01,2.21,0.00,0.00
2025-06-25 08:30,-1.86,0.00,-386.60,0.00,4369.04,24.30,0.00,0.22,0.23,43.60,5.47,53.52,830.41,1781.64,1211.27,19.90,17.63,0.00,322.16,0.05,0.00,0.01,0.01,2.22,0.00,-14.37
2025-06-25 08:35,-0.90,0.00,-381.00,0.00,4278.80,24.70,0.00,0.22,0.23,27.80,4.57,53.98,840.13,1727.65,1304.29,20.00,17.34,0.00,315.40,0.05,0.00,0.01,0.01,1.48,0.00,-10.00
2025-06-25 08:40,-20.02,0.00,-922.45,0.00,4168.07,24.40,0.00,0.22,0.23,41.02,0.03,53.30,812.53,1832.23,1397.31,20.10,41.16,0.00,307.34,0.05,0.00,0.01,0.01,2.09,0.00,0.00
2025-06-25 08:45,-1.75,-247.17,-907.75,0.00,4162.89,21.50,0.00,0.22,0.23,25.40,36.12,59.82,818.28,1907.51,1490.33,20.20,38.43,0.00,306.95,0.04,0.00,0.01,0.01,1.35,0.00,-14.73
2025-06-25 08:50,-66.83,-247.24,-878.45,0.00,4175.03,20.60,0.00,0.22,0.23,25.40,0.03,53.43,804.83,1903.77,1583.34,20.30,37.54,0.00,307.81,0.04,0.00,0.01,0.01,1.35,0.00,-14.73
2025-06-25 08:55,-142.28,-245.45,-896.00,0.00,4188.35,23.20,0.00,0.22,0.23,25.40,0.03,53.57,798.79,1907.63,1676.36,20.40,38.35,0.00,308.75,0.04,0.00,0.01,0.01,1.35,0.00,-15.01
2025-06-25 09:00,-212.74,-247.72,-881.85,0.00,4195.51,24.50,0.00,0.22,0.23,25.40,0.03,53.10,768.87,1924.38,1769.38,20.50,37.81,0.00,309.18,0.05,0.00,0.01,0.01,1.35,0.00,-15.01
2025-06-25 09:05,-274.65,-245.65,-920.05,0.00,4198.66,22.20,0.00,0.22,0.23,40.98,0.03,53.53,774.18,2017.33,1855.31,20.48,38.95,0.00,309.29,0.04,0.00,0.01,0.01,2.08,0.00,-15.94
2025-06-25 09:10,-270.30,-244.79,-956.20,0.00,4205.77,24.00,0.00,0.22,0.23,40.58,0.79,54.10,770.94,1987.42,1941.24,20.47,40.67,0.00,309.80,0.05,0.00,0.01,0.01,2.07,0.00,-14.73
2025-06-25 09:15,-142.51,-323.13,-999.50,0.00,4113.89,20.30,0.00,0.22,0.23,40.68,0.03,53.15,772.38,2071.93,2027.17,20.45,41.23,0.00,303.13,0.04,0.00,0.01,0.01,2.07,0.00,-15.00
2025-06-25 09:20,-82.42,-489.28,-926.95,0.00,4138.67,20.30,0.00,0.22,0.23,40.49,0.87,54.08,757.28,2091.28,2113.10,20.43,37.46,0.00,304.93,0.04,0.00,0.01,0.01,2.06,0.00,-14.73
2025-06-25 09:25,-47.51,-490.35,-1001.35,0.00,4100.64,21.20,0.00,0.22,0.23,25.50,9.92,53.92,741.49,2024.07,2199.03,20.42,40.69,0.00,302.19,0.04,0.00,0.01,0.01,1.36,0.00,-15.01
2025-06-25 09:30,-242.65,-490.90,-906.70,0.00,4063.55,23.40,0.00,0.22,0.23,25.40,0.03,53.21,758.80,2028.69,2284.96,20.40,36.63,0.00,299.53,0.04,0.00,0.01,0.01,1.35,0.00,-15.01
2025-06-25 09:35,-215.62,-491.36,-955.55,0.00,4068.21,24.70,0.00,0.22,0.23,40.91,0.03,53.57,730.35,2033.79,2358.35,20.43,38.75,0.00,299.88,0.05,0.00,0.01,0.01,2.08,0.00,-18.00
2025-06-25 09:40,-228.52,-487.80,-980.80,0.00,4060.18,21.40,0.00,0.22,0.23,41.33,0.03,54.25,723.42,1981.09,2431.75,20.47,40.10,0.00,299.31,0.04,0.00,0.01,0.01,2.10,0.00,-18.20
2025-06-25 09:45,-205.74,-489.77,-920.50,0.00,4047.36,23.00,0.00,0.22,0.23,41.17,0.03,53.93,707.16,1883.90,2505.14,20.50,38.15,0.00,298.35,0.04,0.00,0.01,0.01,2.09,0.00,-18.00
2025-06-25 09:50,-259.34,-490.51,-940.85,0.00,4012.82,23.40,0.00,0.22,0.23,40.81,0.03,53.53,706.68,1919.99,2578.53,20.53,38.66,0.00,295.84,0.04,0.00,0.01,0.01,2.08,0.00,-19.34
2025-06-25 09:55,-273.21,-490.25,-899.15,0.00,4027.82,23.30,0.00,0.22,0.23,41.44,0.03,25.82,709.99,1843.45,2651.92,20.57,37.51,0.00,296.85,0.04,0.00,0.01,0.01,2.11,0.00,-20.01
2025-06-25 10:00,-244.65,-488.56,-928.80,0.00,4048.77,20.70,0.00,0.22,0.23,41.42,0.03,7.98,707.20,1798.94,2725.32,20.60,39.22,0.00,298.44,0.04,0.00,0.01,0.01,2.11,0.00,-20.01
2025-06-25 10:05,-180.93,-488.84,-1006.35,0.00,4125.64,21.70,0.00,0.22,0.23,40.18,0.03,5.16,711.23,1798.20,2779.96,20.55,42.82,0.00,304.09,0.04,0.00,0.01,0.01,2.05,0.00,-20.01
