date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-18 09:10,-12.11,-93.90,-469.22,829.80,6799.11,-20.79,0.00,98.96,0.00,98.41,812.42,1940.28,0.00,10.33,24.57,47.39,510.59,0.00,0.00,4.78,0.00,103.12
2025-06-18 09:15,-7.38,-185.80,-334.40,709.05,6814.85,-20.73,0.00,49.69,4.01,4.18,794.95,1970.74,0.00,10.55,17.49,39.20,511.55,0.00,0.00,2.46,0.00,103.37
2025-06-18 09:20,-184.56,-272.74,-304.05,734.25,6850.99,-20.71,0.00,40.26,31.40,5.29,784.08,1989.31,0.00,10.77,15.74,41.15,514.20,0.00,0.00,2.02,0.00,108.80
2025-06-18 09:25,-189.98,-352.55,-305.36,721.05,6854.70,-20.77,0.00,40.17,4.31,5.38,778.33,2041.41,0.00,10.98,15.66,40.54,514.71,0.00,0.00,2.02,0.00,108.33
2025-06-18 09:30,-213.34,-453.15,-373.40,792.75,6761.09,-20.80,0.00,39.70,2.78,5.35,758.27,2130.42,1884.99,11.20,18.74,43.95,507.52,0.00,0.00,1.99,0.00,76.58
2025-06-18 09:35,-184.38,-468.25,-315.62,668.20,6665.09,-20.71,0.00,40.49,0.85,5.23,750.24,2244.52,1962.00,11.37,15.58,37.32,500.30,0.00,0.00,2.03,0.00,65.90
2025-06-18 09:40,-31.31,-469.15,-357.31,552.60,6546.85,-20.80,0.00,40.41,331.95,5.26,727.67,2269.27,2039.01,11.53,16.97,30.71,491.32,0.00,0.00,2.03,0.00,76.70
2025-06-18 09:45,-10.49,-466.84,-319.60,652.15,6523.00,-20.81,0.00,40.44,0.02,5.38,730.53,2210.27,2116.02,11.70,15.76,36.36,489.86,0.00,0.00,2.03,0.00,76.58
2025-06-18 09:50,-7.41,-466.54,-361.48,685.75,6402.39,-20.71,0.00,40.15,0.09,5.29,729.18,2222.56,2193.03,11.87,17.69,37.88,480.70,0.00,0.00,2.01,0.00,70.93
2025-06-18 09:55,-334.77,-462.93,-288.94,784.05,6307.42,-20.65,0.00,39.98,12.28,5.32,704.81,2154.06,2270.03,12.03,14.18,42.52,473.48,0.00,0.00,2.01,0.00,76.58
2025-06-18 10:00,-119.18,-465.34,-341.20,720.60,6214.94,-20.67,0.00,39.97,0.12,5.29,707.66,2152.91,2347.04,12.20,16.67,39.32,466.47,0.00,0.00,2.01,0.00,41.60
2025-06-18 10:05,-115.72,-468.55,-415.29,611.95,6064.47,-20.60,0.00,40.57,349.43,5.41,690.65,2271.57,2409.91,12.35,19.19,32.82,455.10,0.00,0.00,2.04,0.00,46.51
2025-06-18 10:10,-29.69,-467.74,-387.07,578.80,5957.02,-20.70,0.00,40.10,192.26,5.35,698.85,2359.77,2472.78,12.50,17.87,30.10,446.82,0.00,0.00,2.01,0.00,57.01
2025-06-18 10:15,-27.78,-466.54,-374.63,598.55,5880.78,-20.79,0.00,39.37,48.53,5.32,697.34,2400.91,2535.65,12.65,17.40,31.89,441.13,0.00,0.00,1.98,0.00,57.01
2025-06-18 10:20,-135.91,-467.44,-406.21,642.80,5781.17,-20.67,0.00,39.70,142.15,5.38,691.74,2421.33,2598.52,12.80,18.53,33.93,433.69,0.00,0.00,1.99,0.00,36.62
2025-06-18 10:25,-214.25,-467.34,-405.12,574.20,5653.87,-20.63,0.00,39.93,288.65,5.41,715.69,2462.25,2661.39,12.95,17.93,30.11,424.24,0.00,0.00,2.00,0.00,42.79
2025-06-18 10:30,-87.76,-466.14,-384.76,644.25,5577.62,-20.72,0.00,39.52,10.33,5.41,716.41,2425.75,2724.26,13.10,17.51,33.48,418.57,0.00,0.00,1.98,0.00,47.70
2025-06-18 10:35,-243.53,-466.64,-378.92,657.35,5572.72,-20.64,0.00,38.85,0.00,5.35,711.19,2447.29,2774.94,13.18,17.23,34.09,418.37,0.00,0.00,1.95,0.00,47.45
2025-06-18 10:40,-159.75,-465.44,-379.16,644.30,5457.75,-20.73,0.00,38.92,2.30,5.26,714.40,2431.99,2825.63,13.27,17.13,33.66,409.95,0.00,0.00,1.95,0.00,44.96
2025-06-18 10:45,-219.37,-464.94,-423.50,612.60,5315.66,-21.31,0.00,39.12,294.90,5.35,706.85,2413.16,2876.32,13.35,18.40,32.23,399.48,0.00,0.00,1.96,0.00,42.85
2025-06-18 10:50,-99.14,-466.65,-468.64,600.85,5138.77,-20.84,0.00,39.51,294.18,5.35,706.28,2440.26,2927.00,13.43,20.02,30.98,386.39,0.00,0.00,1.98,0.00,56.98
2025-06-18 10:55,-141.29,-465.44,-473.69,660.55,5064.94,-20.74,0.00,39.66,295.00,5.35,708.63,2414.18,2977.69,13.52,20.17,34.29,380.95,0.00,0.00,1.99,0.00,56.98
2025-06-18 11:00,-257.00,-466.14,-412.77,694.10,5000.61,-21.00,0.00,39.85,294.95,5.23,675.38,2352.33,3028.37,13.60,17.67,36.06,376.18,0.00,0.00,2.00,0.00,45.00
2025-06-18 11:05,-250.16,-467.45,-437.61,713.00,4927.25,-21.26,0.00,39.73,295.03,4.00,647.44,2343.32,3064.35,13.70,18.70,36.45,370.76,0.00,0.00,1.99,0.00,50.06
2025-06-18 11:10,-84.22,-464.74,-394.24,787.45,4866.33,-21.57,0.00,39.19,4.54,4.09,613.03,2291.34,3100.32,13.80,17.53,40.17,366.25,0.00,0.00,1.97,0.00,61.53
2025-06-18 11:15,-139.37,-464.64,-416.32,804.50,4884.81,-21.64,0.00,39.17,0.11,4.00,608.53,2273.69,3136.30,13.90,18.59,41.56,367.60,0.00,0.00,1.97,0.00,56.98
2025-06-18 11:20,-85.79,-464.14,-431.55,823.25,4849.22,-21.66,0.00,39.45,1.83,4.03,583.80,2203.31,3172.28,14.00,19.44,42.88,364.95,0.00,0.00,1.98,0.00,57.01
2025-06-18 11:25,-98.38,-464.54,-454.37,827.70,4860.06,-21.32,0.00,39.50,2.28,4.06,572.66,2183.97,3208.25,14.10,20.56,43.24,365.73,0.00,0.00,1.98,0.00,60.66
2025-06-18 11:30,-90.21,-466.95,-526.08,846.65,4918.73,-21.38,0.00,39.27,0.61,4.09,563.44,2179.08,3244.23,14.20,23.95,43.69,370.12,0.00,0.00,1.97,0.00,39.89
2025-06-18 11:35,-94.63,-466.25,-493.28,768.05,4856.10,-21.40,0.00,39.92,0.00,4.12,574.45,2275.04,3258.70,14.35,22.06,39.34,365.45,0.00,0.00,2.00,0.00,38.33
2025-06-18 11:40,-104.28,-466.84,-477.14,718.90,4777.83,-21.29,0.00,37.50,0.00,4.00,560.25,2373.63,3273.16,14.50,20.99,36.41,359.65,0.00,0.00,1.88,0.00,38.67
2025-06-18 11:45,-88.90,-465.74,-300.66,485.30,4714.38,-21.85,0.00,38.09,0.00,4.15,571.22,2328.67,3287.63,14.65,13.21,24.25,354.93,0.00,0.00,1.91,0.00,49.88
2025-06-18 11:50,-269.25,-464.84,-271.16,552.95,4688.11,-21.96,0.00,36.91,0.07,4.15,579.76,2267.38,3302.10,14.80,11.97,28.14,352.98,0.00,0.00,1.85,0.00,38.68
2025-06-18 11:55,-82.31,-466.14,-273.80,509.85,4619.09,-21.85,0.00,37.36,0.00,4.12,570.40,2245.76,3316.57,14.95,12.05,25.68,347.82,0.00,0.00,1.87,0.00,39.15
2025-06-18 12:00,-65.24,-465.24,-288.12,530.00,4597.09,-21.90,0.00,37.27,0.20,4.15,552.52,2204.84,3331.04,15.10,12.76,26.80,346.21,0.00,0.00,1.87,0.00,60.35
2025-06-18 12:05,-130.51,-463.93,-379.57,611.40,4624.26,-20.74,0.00,37.57,1.00,4.15,534.70,2261.97,3328.27,15.18,16.76,30.63,348.21,0.00,0.00,1.89,0.00,39.13
2025-06-18 12:10,-75.64,-466.34,-372.69,571.30,4566.45,-19.44,0.00,37.68,0.00,4.15,504.32,2382.37,3325.50,15.27,16.19,28.42,343.90,0.00,0.00,1.89,0.00,62.59
2025-06-18 12:15,-401.69,-466.34,-318.44,615.45,4598.99,-19.48,0.00,37.89,0.00,4.03,500.17,2447.25,3322.73,15.35,13.77,30.85,346.31,0.00,0.00,1.90,0.00,54.99
2025-06-18 12:20,-355.47,-465.74,-334.61,586.45,4569.92,-18.77,0.00,37.43,0.05,4.18,474.15,2506.02,3319.96,15.43,14.37,29.42,344.18,0.00,0.00,1.88,0.00,39.63
2025-06-18 12:25,-336.56,-464.04,-268.99,532.30,4559.71,-18.59,0.00,37.71,9.99,4.15,468.88,2478.82,3317.19,15.52,11.58,27.15,343.43,0.00,0.00,1.89,0.00,49.52
2025-06-18 12:30,-369.72,-461.93,-233.26,552.40,4561.62,-18.73,0.00,38.12,9.70,4.12,457.13,2372.59,3314.43,15.60,10.19,28.17,343.58,0.00,0.00,1.91,0.00,59.50
2025-06-18 12:35,-186.79,-463.94,-327.69,510.40,4554.12,-18.71,0.00,38.00,2.47,4.15,448.95,2415.45,3290.52,15.68,14.26,26.22,343.02,0.00,0.00,1.91,0.00,58.79
2025-06-18 12:40,-250.40,-463.54,-309.23,475.65,4709.67,-21.12,0.00,37.88,7.83,4.09,440.40,2396.13,3266.61,15.77,13.69,24.78,354.87,0.00,0.00,1.90,0.00,68.11
2025-06-18 12:45,-376.53,-465.35,-322.62,532.15,4756.98,-21.10,0.00,37.97,0.00,4.09,430.42,2341.45,3242.71,15.85,14.48,27.73,358.71,0.00,0.00,1.91,0.00,59.19
2025-06-18 12:50,-406.43,-465.14,-321.57,510.45,4838.09,-21.25,0.00,38.04,0.00,4.18,441.03,2377.68,3218.80,15.93,14.44,26.62,364.81,0.00,0.00,1.91,0.00,47.35
2025-06-18 12:55,-290.36,-465.05,-316.70,472.70,4772.34,-21.15,0.00,38.00,0.00,4.18,406.04,2447.58,3194.90,16.02,14.09,24.56,360.04,0.00,0.00,1.91,0.00,37.92
2025-06-18 13:00,-156.53,-463.64,-294.56,433.75,4713.55,-19.02,0.00,38.37,0.07,4.18,386.74,2460.93,3170.99,16.10,13.06,22.46,355.67,0.00,0.00,1.93,0.00,60.91
2025-06-18 13:05,-401.92,-466.05,-338.62,588.25,4755.03,-19.16,0.00,38.99,0.00,4.15,384.09,2400.20,3134.25,16.22,15.17,30.62,358.72,0.00,0.00,1.96,0.00,56.98
2025-06-18 13:10,-414.78,-465.85,-345.27,628.70,4788.21,-19.06,0.00,37.90,0.00,4.03,348.24,2377.53,3097.51,16.33,15.63,32.26,361.21,0.00,0.00,1.90,0.00,56.98
2025-06-18 13:15,-401.54,-462.63,-308.12,575.85,4817.16,-19.14,0.00,39.08,6.39,4.12,331.69,2361.46,3060.78,16.45,14.03,29.78,363.34,0.00,0.00,1.96,0.00,69.91
2025-06-18 13:20,-401.33,-463.64,-300.90,545.40,4882.03,-19.13,0.00,41.15,2.37,4.09,310.31,2333.50,3024.04,16.57,13.86,28.47,368.16,0.00,0.00,2.06,0.00,60.88
2025-06-18 13:25,-408.02,-464.84,-310.41,590.95,4923.95,-19.07,0.00,40.17,0.00,4.12,278.65,2348.46,2987.30,16.68,14.38,31.24,371.31,0.00,0.00,2.02,0.00,61.33
2025-06-18 13:30,-404.50,-465.74,-362.57,573.40,4979.03,-19.10,0.00,41.17,0.00,4.09,268.70,2369.73,2950.56,16.80,16.84,30.31,375.38,0.00,0.00,2.07,0.00,57.01
2025-06-18 13:35,-380.44,-465.94,-380.96,580.70,5016.97,-19.26,0.00,40.57,0.00,4.21,243.63,2397.77,2892.03,16.87,17.73,30.61,378.21,0.00,0.00,2.04,0.00,-9.50
2025-06-18 13:40,-173.47,-465.34,-360.73,466.05,5007.01,-18.96,0.00,41.25,0.00,4.12,246.05,2432.78,2833.51,16.93,16.72,25.00,377.76,0.00,0.00,2.07,0.00,47.78
2025-06-18 13:45,-140.54,-465.24,-324.41,479.35,4935.26,-18.99,0.00,39.71,0.00,4.09,223.12,2448.61,2774.98,17.00,14.97,25.33,372.46,0.00,0.00,1.99,0.00,56.48
2025-06-18 13:50,-99.58,-462.64,-327.75,477.55,4894.63,-19.06,0.00,39.55,0.00,4.18,205.20,2492.79,2716.46,17.07,15.03,25.60,369.43,0.00,0.00,1.98,0.00,58.08
2025-06-18 13:55,-155.37,-463.14,-316.64,461.35,4979.52,-18.19,0.00,39.83,0.45,4.18,190.63,2503.84,2657.93,17.13,14.62,25.11,375.74,0.00,0.00,2.00,0.00,56.98
2025-06-18 14:00,-333.51,-462.53,-276.75,529.85,5032.16,-18.86,0.00,40.16,9.87,4.12,172.84,2437.96,2599.41,17.20,12.95,28.45,379.66,0.00,0.00,2.02,0.00,91.71
2025-06-18 14:05,-334.28,-462.24,-297.42,522.55,5044.36,-15.63,0.00,40.28,43.07,4.15,160.89,2473.45,2537.93,17.22,13.83,28.32,380.54,0.00,0.00,2.02,0.00,80.59
2025-06-18 14:10,-333.49,-463.64,-331.44,450.15,5263.05,-15.54,6.00,40.43,83.80,4.15,150.06,2476.46,2476.46,17.23,15.59,25.31,397.03,0.00,0.19,2.03,0.00,79.94
2025-06-18 14:15,-399.68,-465.55,-273.46,427.35,5409.58,-14.27,29.00,40.68,39.05,4.09,140.89,2409.51,2414.98,17.25,13.16,23.93,408.13,0.01,0.90,2.04,0.00,56.98
2025-06-18 14:20,-165.85,-465.75,-292.42,343.15,5481.56,-12.86,38.00,40.72,0.00,4.09,135.17,2426.23,2353.50,17.27,14.19,18.97,413.67,0.01,1.18,2.04,0.00,54.09
2025-06-18 14:25,-147.09,-464.04,-291.44,276.45,5500.97,-11.45,36.00,41.09,166.01,4.18,136.13,2376.33,2292.03,17.28,13.97,15.20,415.20,0.01,1.12,2.06,0.00,36.50
2025-06-18 14:30,-163.56,-465.45,-275.97,182.45,5491.76,-8.78,71.00,41.03,332.05,4.21,132.33,2398.20,2230.55,17.30,12.93,10.12,414.63,0.02,2.20,2.06,0.00,43.22
2025-06-18 14:35,-140.76,-463.65,-308.31,186.50,5527.06,-4.56,197.00,41.03,332.08,4.15,131.44,2322.60,2158.87,17.28,14.53,10.46,417.29,0.03,6.10,2.06,0.00,42.21
