date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-18 09:10,-10.06,0.00,-829.80,0.00,5450.69,15.10,295.06,0.28,23.89,0.10,42.99,198.47,1239.09,0.00,15.90,47.39,0.00,402.95,0.03,10.84,0.01,1.19,0.00,96.83
2025-06-18 09:15,-12.22,-246.26,-709.05,0.00,5463.63,15.30,242.89,0.28,23.45,0.26,42.81,179.26,1282.95,0.00,16.00,39.20,0.00,404.40,0.03,8.95,0.01,1.17,0.00,96.83
2025-06-18 09:20,0.00,-243.91,-734.25,0.00,5481.12,15.10,202.94,0.28,23.26,65.85,43.30,176.37,1139.46,0.00,16.10,41.15,0.00,405.66,0.03,7.50,0.01,1.16,0.00,101.65
2025-06-18 09:25,-1.24,-245.59,-721.05,0.00,5494.41,12.80,159.82,0.28,23.84,0.00,43.20,155.26,1226.24,0.00,16.20,40.54,0.00,406.79,0.02,5.94,0.01,1.19,0.00,101.83
2025-06-18 09:30,-44.64,-245.92,-792.75,0.00,5485.91,12.60,111.87,0.28,23.18,0.00,42.76,145.79,1354.98,1673.15,16.30,43.95,0.00,406.20,0.02,4.20,0.01,1.15,0.00,72.70
2025-06-18 09:35,-15.18,-244.25,-668.20,0.00,5315.22,9.90,99.99,0.28,23.59,0.11,42.81,129.36,1265.60,1744.65,16.37,37.32,0.00,393.41,0.02,3.77,0.01,1.17,0.00,65.26
2025-06-18 09:40,-177.50,-246.38,-552.60,0.00,5195.97,10.20,89.47,0.28,23.77,0.00,42.87,130.94,1264.64,1816.14,16.43,30.71,0.00,384.73,0.02,3.39,0.01,1.18,0.00,75.45
2025-06-18 09:45,-64.29,-245.12,-652.15,0.00,5218.13,10.50,89.47,0.28,23.95,0.00,43.24,121.77,1259.75,1887.64,16.50,36.36,0.00,386.42,0.02,3.39,0.01,1.19,0.00,73.34
2025-06-18 09:50,-84.22,-244.04,-685.75,0.00,5200.11,10.70,88.26,0.28,24.09,0.02,42.85,104.24,1335.15,1959.13,16.57,37.88,0.00,384.91,0.02,3.34,0.01,1.20,0.00,68.22
2025-06-18 09:55,-110.98,-245.12,-784.05,0.00,5259.39,12.80,88.26,0.28,23.87,13.46,43.63,101.94,1464.07,2030.62,16.63,42.52,0.00,388.83,0.02,3.34,0.01,1.19,0.00,71.30
