date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Coal (Brown) -  MW,Gas (Steam) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-18 09:10,-6.69,0.00,1208.06,3716.50,500.25,975.06,0.73,799.92,221.86,252.86,0.00,7.90,0.00,34.81,359.97,22.64,57.19,0.00,292.00
2025-06-18 09:15,-6.59,0.00,1118.53,3730.25,500.63,979.09,2.93,880.62,208.24,282.38,0.00,8.05,0.00,28.63,361.31,22.65,57.47,0.00,205.80
2025-06-18 09:20,-0.23,0.00,1131.67,3744.50,499.88,958.56,17.46,795.12,205.61,307.31,0.00,8.20,0.00,27.69,362.69,22.62,56.02,0.00,198.86
2025-06-18 09:25,-1.90,0.00,1109.82,3734.13,499.88,968.39,1.04,776.82,208.18,328.53,0.00,8.35,0.00,27.04,361.67,22.62,56.73,0.00,196.73
2025-06-18 09:30,-6.70,0.00,1096.43,3707.50,497.63,973.17,0.00,754.72,214.42,355.23,556.44,8.50,0.00,28.99,359.09,22.52,57.09,0.00,196.26
2025-06-18 09:35,-11.06,0.00,1034.25,3721.75,498.75,976.66,0.00,764.92,226.17,367.48,591.64,8.68,0.00,25.94,360.48,22.57,57.31,0.00,194.82
2025-06-18 09:40,-3.00,0.00,1050.58,3711.75,498.38,871.95,0.00,788.22,208.89,376.06,626.85,8.87,0.00,27.21,359.51,22.55,51.22,0.00,180.96
2025-06-18 09:45,-7.48,0.00,1037.88,3742.50,500.63,796.08,0.00,784.32,205.19,392.07,662.06,9.05,0.00,26.25,362.48,22.65,46.21,0.00,180.96
2025-06-18 09:50,-7.46,0.00,1007.31,3743.00,501.00,791.34,0.00,763.62,214.21,399.34,697.27,9.23,0.00,27.01,362.54,22.67,45.91,0.00,180.94
2025-06-18 09:55,-5.21,0.00,998.01,3757.63,500.63,693.22,3.35,774.12,235.16,397.41,732.48,9.42,0.00,24.41,364.00,22.65,39.17,0.00,180.94
2025-06-18 10:00,-6.38,0.00,1006.26,3723.00,498.75,686.95,0.01,727.82,245.13,400.91,767.69,9.60,0.00,26.20,360.59,22.57,38.89,0.00,171.90
