date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-07-02 06:35,-1.70,0.00,-320.82,0.00,6859.76,2.89,0.00,184.02,134.96,570.95,2041.86,0.03,0.00,14.87,17.20,0.00,517.19,0.07,0.00,8.78,0.00,140.28
2025-07-02 06:40,-1.38,0.00,-257.50,0.00,6895.52,3.13,0.00,207.78,95.58,529.64,2029.70,0.03,0.00,14.93,13.95,0.00,519.87,0.07,0.00,9.90,0.00,156.97
2025-07-02 06:45,-1.41,0.00,-250.87,19.50,6928.60,2.85,0.00,207.22,139.00,517.51,2042.35,0.03,0.00,15.00,13.55,1.12,522.31,0.07,0.00,9.87,0.00,159.56
2025-07-02 06:50,-1.50,0.00,-189.49,51.50,6946.23,2.86,0.00,206.95,88.04,511.01,2047.75,0.03,0.00,15.07,10.29,2.95,523.61,0.07,0.00,9.86,0.00,205.71
2025-07-02 06:55,-1.48,0.00,-131.19,0.00,6974.84,3.37,0.00,207.28,94.33,505.09,2054.90,0.03,0.00,15.13,7.13,0.00,525.76,0.07,0.00,9.88,0.00,205.13
2025-07-02 07:00,-1.41,0.00,-130.93,0.00,6982.17,3.53,0.00,206.95,202.01,501.72,2061.60,0.03,1.95,15.20,7.04,0.00,526.31,0.07,0.00,9.86,0.00,208.13
2025-07-02 07:05,-1.38,0.00,-85.03,0.00,7004.73,3.55,0.00,203.76,227.94,488.50,2023.73,0.03,7.25,15.25,4.58,0.00,527.93,0.07,0.00,9.88,0.00,211.38
2025-07-02 07:10,-1.96,0.00,-45.90,6.48,7049.77,3.24,0.00,246.64,80.38,526.57,2053.20,0.03,12.55,15.30,2.50,0.42,531.32,0.07,0.00,11.73,0.00,210.44
2025-07-02 07:15,-1.40,0.00,-6.19,0.00,7100.75,3.11,0.00,293.31,101.86,544.19,2018.17,0.03,17.85,15.35,0.34,0.00,535.08,0.07,0.00,13.92,0.00,207.22
2025-07-02 07:20,-2.10,0.00,-31.32,22.35,7102.53,3.49,0.00,348.05,162.20,532.31,1987.34,1.75,23.15,15.40,1.70,1.27,535.20,0.07,0.00,16.49,0.00,207.87
2025-07-02 07:25,-1.35,0.00,-91.10,105.25,7136.64,3.48,0.00,376.02,176.46,533.45,1953.37,6.94,28.44,15.45,4.96,5.88,537.74,0.07,0.00,17.81,0.00,205.52
2025-07-02 07:30,-1.38,0.00,-107.37,171.70,7152.31,4.05,0.00,374.66,231.35,521.69,1917.31,14.51,33.74,15.50,5.84,9.50,538.92,0.07,0.00,17.74,0.00,168.92
2025-07-02 07:35,-1.63,0.00,-137.06,240.15,7149.87,3.59,0.00,375.65,236.30,513.15,1894.46,21.17,55.91,15.43,7.47,13.06,538.76,0.07,0.00,17.79,0.00,209.16
2025-07-02 07:40,-1.47,0.00,-62.35,241.80,7178.31,3.54,0.00,374.66,70.12,534.25,1902.42,30.58,78.08,15.37,3.44,13.14,540.85,0.07,0.00,17.74,0.00,186.86
2025-07-02 07:45,-1.64,0.00,-123.30,299.35,7153.58,3.49,0.00,359.46,210.87,518.73,1876.80,43.71,100.25,15.30,6.73,15.91,539.02,0.07,0.00,17.03,0.00,160.43
2025-07-02 07:50,-1.56,0.00,-192.06,399.95,7150.36,3.71,0.00,345.02,211.63,509.48,1860.91,75.13,122.42,15.23,10.48,20.65,538.81,0.07,0.00,16.35,0.00,165.12
2025-07-02 07:55,-1.38,0.00,-216.63,475.90,7159.08,4.08,0.00,330.64,52.06,516.18,1852.94,121.37,144.59,15.17,11.96,24.20,539.45,0.07,0.00,15.68,0.00,153.72
2025-07-02 08:00,-1.98,0.00,-280.99,552.25,7155.80,4.48,0.00,315.61,122.74,496.83,1841.26,162.34,166.76,15.10,15.39,27.47,539.15,0.07,0.00,14.97,0.00,118.95
2025-07-02 08:05,-4.32,0.00,-270.92,562.65,7157.83,4.62,0.00,302.50,31.66,497.16,1829.45,223.98,195.68,15.00,14.90,27.28,539.28,0.07,0.00,14.35,0.00,120.43
2025-07-02 08:10,0.00,0.00,-258.07,566.25,7093.50,4.24,0.00,289.19,83.78,455.44,1811.38,342.53,224.59,14.90,14.01,26.96,534.45,0.07,0.00,13.73,0.00,184.71
2025-07-02 08:15,-4.98,0.00,-240.30,587.75,6991.08,5.56,0.00,290.78,7.32,431.02,1795.86,479.54,253.50,14.80,12.96,27.56,526.71,0.08,0.00,13.80,0.00,113.01
2025-07-02 08:20,-27.86,0.00,-307.51,637.30,6947.48,4.51,0.00,290.12,3.01,431.50,1771.70,600.75,282.41,14.70,16.41,29.13,523.34,0.07,0.00,13.77,0.00,76.80
2025-07-02 08:25,-20.95,0.00,-291.45,626.95,6823.50,4.82,0.00,289.79,5.60,422.97,1762.26,726.54,311.32,14.60,15.30,27.88,513.96,0.08,0.00,13.75,0.00,76.82
2025-07-02 08:30,-0.06,0.00,-295.72,612.35,6781.77,4.22,0.00,266.22,0.89,334.08,1769.96,820.77,340.23,14.50,15.48,26.75,510.77,0.07,0.00,12.65,0.00,76.80
2025-07-02 08:35,-6.03,0.00,-336.78,690.80,6690.12,4.94,0.00,217.58,6.46,298.70,1777.92,926.01,373.03,14.53,17.42,29.76,503.81,0.08,0.00,10.36,0.00,108.89
2025-07-02 08:40,-0.22,0.00,-491.30,1333.85,6655.06,4.73,0.00,162.87,5.05,297.31,1725.74,1017.05,405.82,14.57,25.29,56.03,501.05,0.08,0.00,7.79,0.00,91.89
2025-07-02 08:45,-0.07,0.00,-426.72,1288.70,6569.68,4.25,0.00,113.77,5.78,250.99,1712.10,1135.96,438.61,14.60,21.75,52.72,494.50,0.07,0.00,5.48,0.00,106.52
2025-07-02 08:50,-1.20,0.00,-419.63,1326.85,6579.72,4.49,0.00,66.92,0.35,111.04,1738.60,1187.91,471.40,14.63,21.54,53.83,495.00,0.07,0.00,3.28,0.00,108.89
2025-07-02 08:55,-6.05,0.00,-452.96,1281.00,6624.32,4.13,0.00,41.79,0.01,8.06,1721.69,1401.38,504.19,14.67,23.08,51.91,498.16,0.07,0.00,2.10,0.00,0.00
2025-07-02 09:00,-2.16,0.00,-392.79,1260.65,6439.58,5.28,0.00,41.41,0.23,0.20,1724.62,1477.45,536.99,14.70,19.68,51.18,484.24,0.08,0.00,2.08,0.00,76.58
