date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-04 16:50,-0.41,0.00,-1091.25,0.00,6088.32,19.00,623.55,90.14,38.38,9.43,321.95,1012.75,465.46,0.00,19.17,60.39,0.00,451.12,0.03,21.96,4.77,1.95,0.00,161.00
2025-06-04 16:55,-0.24,0.00,-1086.75,0.00,6124.47,19.40,701.20,90.14,38.49,58.14,330.16,965.92,340.06,0.00,19.08,60.83,0.00,453.90,0.03,24.62,4.77,1.96,0.00,163.45
2025-06-04 17:00,-0.51,0.00,-1069.55,0.00,6174.27,20.60,709.24,90.14,38.28,91.74,365.81,973.42,270.24,143.64,19.00,59.93,0.00,457.75,0.03,24.96,4.77,1.95,0.00,162.83
2025-06-04 17:05,-6.31,0.00,-1070.60,0.00,6154.10,14.30,718.45,139.77,38.77,49.34,481.34,998.73,194.03,123.43,18.93,59.77,0.00,456.28,0.02,25.32,7.17,1.97,0.00,162.73
2025-06-04 17:10,-2.13,0.00,-1121.50,0.00,6173.88,16.40,732.35,189.05,39.09,109.24,487.80,1005.47,132.30,103.22,18.87,62.50,0.00,457.81,0.03,25.84,9.56,1.99,0.00,162.83
2025-06-04 17:15,-0.24,0.00,-1106.75,0.00,6193.60,18.40,740.36,237.98,38.72,99.32,482.54,992.10,89.17,83.01,18.80,62.16,0.00,459.42,0.03,26.13,11.93,1.97,0.00,147.73
2025-06-04 17:20,-0.37,0.00,-1102.45,0.00,6146.95,18.30,792.50,278.28,39.13,161.72,482.63,1003.22,60.60,62.79,18.73,61.31,0.00,455.84,0.03,27.87,13.91,1.99,0.00,143.73
2025-06-04 17:25,-0.61,0.00,-1102.65,0.00,6187.39,15.40,792.76,319.44,38.81,85.18,499.98,1031.16,32.64,42.58,18.67,61.80,0.00,458.82,0.03,27.88,15.94,1.97,0.00,168.44
2025-06-04 17:30,-0.25,0.00,-1161.15,0.00,6230.30,17.90,802.54,355.11,39.09,177.58,510.71,1042.94,13.71,22.37,18.60,64.45,0.00,462.23,0.03,28.23,17.70,1.99,0.00,162.83
2025-06-04 17:35,-0.24,0.00,-1119.10,0.00,6187.04,16.80,808.00,355.44,38.56,239.74,482.13,1031.54,6.82,18.78,18.47,61.89,0.00,458.85,0.03,28.44,17.72,1.96,0.00,162.83
2025-06-04 17:40,-0.24,0.00,-1072.60,0.00,6237.45,17.90,819.66,358.75,37.53,225.70,486.93,1021.51,4.72,15.19,18.33,59.55,0.00,462.78,0.03,28.85,17.88,1.91,0.00,174.41
2025-06-04 17:45,-0.25,0.00,-1061.70,0.00,6253.95,17.40,824.47,367.15,37.36,146.56,523.75,1011.69,2.72,11.60,18.20,59.33,0.00,464.02,0.03,29.04,18.33,1.90,0.00,162.83
2025-06-04 17:50,-0.24,0.00,-1151.15,0.00,6207.97,18.50,835.30,357.88,37.07,395.96,492.80,1011.43,1.42,8.01,18.07,62.69,0.00,460.51,0.03,29.42,17.84,1.89,0.00,163.45
2025-06-04 17:55,-0.25,0.00,-1339.50,0.00,6230.64,19.40,845.86,358.32,37.53,367.53,499.53,998.83,0.72,4.42,17.93,73.27,0.00,462.36,0.03,29.81,17.86,1.91,0.00,166.61
